ref,date,reclassified,"riskRating",category,details
SCA15.0001,1/1/2015,NO,MINOR,Self-Harm Threat,"SCA CM [REDACTED 1] AND DIBP INTERPRETER WERE CONDUCTING A WELLBEING CHECK WITH [REDACTED 2] AND [REDACTED 3] WHEN [REDACTED 2] STATED HE WISHED THE CM TO BRING HIM POISON STATING HE WANTED TO DIE. [REDACTED 2] ADVISED CM THAT HE HAS BEEN SEPERATED FOM HIS MOTHER FOR 8 MONTHS WITH LITTLE INFORMATION ABOUT HE CONDITION AND HE IS SAD. [REDACTED 2] STATED DUE TO HIS RELIGION HE IS UNABLE TO KILL HIMSELF AND DOES NOT WANT TO HARM HIMSELF BY CUTTING , HE WOULD LIKE TO DIE QUICKLY. [REDACTED 2] STATED HE IS REGULARLY THINKING ABOUT SUICIDAL THOUGHTS."
SCA15.0002,1/1/2015,NO,INFORMATION,INFORMATION,"ON 01 JANUARY 2015, I ATTENDED AREA 1 TO MEET WITH [REDACTED 1] AND [REDACTED 2]. TIS INTERPRETER, [REDACTED 4] ALSO ASSISTED WITH TRANSLATION. WHILST DISCUSSING THEIR SON, [REDACTED 3] BEHAVIORS, [REDACTED 2] DISCLOSED THAT HIS AGGRESSIVE BEHAVIORS HAD INCREASED AGAINST HIS SISTER, [REDACTED 5]. I ASKED [REDACTED 2] AND [REDACTED 1] TO ELABORATE ON THIS COMMENT. [REDACTED 5] STATED THAT [REDACTED 3] WILL OFTEN TWIST HER ARM OR THROW HER TO THE GROUND OVER MINOR DISAGREEMENTS. [REDACTED 5] DISCLOSED THAT PHYSICAL ALTERCATIONS WILL OCCUR A NUMBER OF TIMES POER DAY. I SPOKE WITH [REDACTED 1] AND [REDACTED 2] ABOUT THEIR RESPONSE TO THESE ARGUMENTS, TO WHICH [REDACTED 2] IDENTIFIED [REDACTED 3] WILL DESIST IN ENGAGING IN VIOLENT WHEN HIS MOTHER INTERVENES. [REDACTED 2] STATED HE WILL OFTEN JUST RUN OUT OF THE TENT WHEN HE IS TOLD TO STOP HURTING HIS SISTER AND WHEN HE RETURNS SHE WILL ATTEMPT TO SPEAK WITH HIM ABOUT HIS BEHAVIOUR, BUT OFTEN HE WILL REFUSE TO SPEAK WITH HER. I SPOKE AT LENGTH WITH THE PARENTS ABOUT ALTERNATIVE STRATEGIES IN AN ATTEMPT TO AVOID ANY ARGUMENTS GETTING TO A PHYSICAL SITUATION, TO WHICH THEY AGREED TO IMPLEMENT, INCLUDING REDIRECTING AIDA AND/OR AYDIN WHEN ARGUMENTS APPEAR TO BECOMING HEATED AND ENSURING [REDACTED 3]'S CONTINUED ATTENDANCE TO MENTAL HEALTH APPOINTMENTS."
SCA15.0003,1/1/2015,YES,MINOR,Program Issue,"WATER BOTTLES BATCH NO 13284 IN SCA OFFICES AT RPC3 HAVE A DISTINCT CHEMICAL SMELL AND TASTE, NOT APPROPRIATE FOR CONSUMPTION. NB: RISK RATING AND INCIDENT TYPE CHANGED BY WILSONS"
SCA15.0004,3/1/2015,NO,MAJOR,Self-Harm Threat,"CM [REDACTED 1] VISITED [REDACTED 2] TO DISCUSS ISSUES IN RELATION TO HER CHILDREN. [REDACTED 2] SPOKE ABOUT HER HEALTH ISSUES AND THE LACK OF RESPONSE FROM IHMS. [REDACTED 2] BECAME INCREASINGLY DISTRESSED AND STATED IF THEY DO NOT DO ANYTHING THIS WEEK I KNOW WHAT I WILL DO. CM [REDACTED 1] ASKED [REDACTED 2] WHAT SHE WOULD DO , [REDACTED 2] STATED SHE WILL KILL HERSELF AND HER CHILDREN."
SCA15.0005,4/1/2015,NO,MINOR,Property damage,AT 13:00 SCA STAFF MEMBER [REDACTED 1] AND [REDACTED 2] ENTERED THE CHILDRENS RECREATION TENT STOREROOM TO FIND THE SECONDARY DOOR OPEN. STAFF NOTICED THE ROOF HAD BECOME UNSECURE DUE TO A HOLE WHICH COULD BE ACCESSED BY THE CHILDREN. STAFF BELIEVE THE CHILDREN FROM RPC3 HAVE CLIMBED THROUGH THE ROOF AND UNLOCKED THE SECONDARY DOOR ACCESSING RESCOURCES. THE CHILDREN HAVE ALSO MANAGED TO PULL THE CHICKEN WIRE ARART ON THE ROOF. CHILDREN ARE NOW ABLE TO ACCESS THE STOREROOM THROUGH THE HOLE IN THE ROOF
SCA15.0006,4/1/2015,NO,MINOR,DEMONSTRATION,CSPW [REDACTED 1] SAW [REDACTED 2] AND HER MOTHER [REDACTED 3] IN THE VOLLEYBALL AREA DURING THE BBQ. CSPW [REDACTED 1] SAT WITH THE FAMILY AND [REDACTED 3] ADVISED CSPW [REDACTED 1] THAT [REDACTED 2] WAS REFUSING TO TAKE HER MEDICATION FOR HER ONGOING HEALTH CONDITION. [REDACTED 2] CONFIRMED THIS WAS TRUE AND STATED SHE DID NOT WANT TO TAKE ANY MEDICATION IN NAURU. [REDACTED 2] SAID THAT MANY PEOPLE PRETEND THEY ARE CRAZY AND GET TO GO TO AUSTRALIA WHERE PEOPLE WHO ARE REALLY SICK HAVE TO STAY IN NAURU. CSPW [REDACTED 1] SPOKE WITH [REDACTED 2] AND [REDACTED 3] ABOUT THE IMPORTANCE OF TAKING HER MEDICATION.
SCA15.0007,4/1/2015,NO,MINOR,Program Issue,"[REDACTED] INFORMED HIS CASE MANAGER THAT COCKROACHES ARE IN THEIR FAMILY TENT (AREA 3, TENT 45) AND RUN OVER THE FAMILY DURING THE NIGHT. ( INCLUDING HER 10YR OLD AND 5 YR OLD SONS). [REDACTED] REPORTED THIS HAPPENS EVERY DAY FOR MANY WEEKS"
SCA15.0008,4/1/2015,YES,MINOR,Program Issue,CW [REDACTED 1] WAS WALKING PAST THE BUS STOP IN OPC3 WHEN SHE NOTICED A GROUP OF A/S MAINLY WOMEN GATHERED AROUND A LOCAL SCA WORKER HOLDING A CLIPBOARD. THE WOMEN WERE TALKING LOUDLY.[REDACTED 1]'S CLIENT [REDACTED 2] WAS THERE WITH IS WIFE AND 4 CHILDREN WHEN HE APPROACHED SCA [REDACTED 1] AND SAID HE WAS TRYING TO GET HIS FAMILIES NAME ON THE LIST FOR THE SUNSET EXCURSION BUT ALL THE WOMEN WERE PUSHING IN FRONT OF HIM. [REDACTED 2] DID NOT WANT TO BE DISRESPECTFUL AND PUSH BACK TO GET ON THE LIST. [REDACTED 2] WAS CLEARLY UPSET HE AND HIS FAMILY HAD MISSED OUT. SCA [REDACTED 1] TRIED TO GET THE ATTENTION OF THE SCA WORKER TO NO AVAIL. [REDACTED 1] THEN LEFT THE AREA AS SHE HAD A MINOR WITH HERE TELLING [REDACTED 2] SHE WOULD CATCH UP WITH HIM IN THE NEXT FEW DAYS WITH AN INTERPRETER.NB: RISK RATING AND INCIDENT TYPE CHANGED BY WILSONS
SCA15.0009,4/1/2015,NO,MINOR,Non-complaint,"DURING THE CHILD INTERNET SESSION (5-12YRS) IT WAS NOTED TWO YOUTHS WERE CLIMBING ON TOP OF THE OUTSIDE PHONE BOOTHS TO GAIN ENTRY OVER THE TOP OF THE WALLS TO THE INTERNET ROOM TO PASS USB'S TO THE CHILDREN USING THE INTERNET SO THEY COULD DOWNLOAD ITEMS OFF THE INTENET FOR THEM. THIS WAS STOPPED BY THE WILSONS STAFF MEMBER ON DUTY. IT WAS ALSO NOTED THROUGHOUT THE INTERNET SESSION [REDACTED 1] WAS IN A HEIGHTENED MOOD, SEEN HITTING THE KEYBOARD ON SEVERAL OCCASIONS AND SWEARING AT SCA STAFF MEMBER [REDACTED 2]. [REDACTED 1] ALSO PICKED UP A CHAIR IN AN ATTEMPT TO THROW IT. [REDACTED 1] AS SPOKEN TO BY STAFF ABOUT HIS ACTIONS WHICH RESULTED IN HIM BEING ASKED TO LEAVE FROM THE SESSION"
SCA15.0010,5/1/2015,NO,INFORMATION,Food &/or Fluid Refusal,"WHILE SPEAKING WITH [REDACTED] SHE TOLD ME THAT SHE HAD ONLY BEEN DRINKING WATER FOR 16 DAYS AND HAD NO FOOD, FOR WEIGHT LOSS. I BREIFLY EXPLAINED THE NEGATIVES AT THIS AND SHE SAID SHE WOULD DIE IF SHE EATS."
