ref,date,riskRating,category,location,details
SCA14.0575,2014-08-09,Information,,RPC3 - Echo area,"[REDACTED] was rostered on duty at RPC3 on the 09.08.2014. At approximately 1320 hours I was at Echo gate in front of area 3 engaging with several asylum seekers that were waiting for a bust to go to RPC1. AT 1330 hours the bus arrived and all asylum seekers that were present boarded the bus. As I stepped on the bus I witnessed [REDACTED] standing in the middle of the bus. When I asked [REDACTED] to have a seat, [REDACTED] started asking the bus driver to stop or 'Let me get off I need to wait for my husband as I have his ID card and he will not be allow on the next bus without an ID' (in broken language). I then asked the bus driver to stop and wait for the husband or let her get off so that she could wait for the next bus. At this stage I remained standing trying to close the door behind me. AS we pulled up at the top gate I got back off the bus to come back to the SCA tent. [REDACTED] followed me off the bus directly behind me. [REDACTED] told the Security at the gate the she needs to go down to the camp. I have informed [REDACTED] (Romeo) and [REDACTED] (Whiskey 3) from Security to the following events.
 I submit this report for your information.
 [REDACTED]"
SCA14.1218,2014-12-28,Minor,,,CM NOTICED [REDACTED] IN IHMS AND ASKED WHY SHE WAS THERE. SHE ADVISED SHE CUT HERSELF LAST NIGHT BECAUSE SHE WAS UPSET. SHE TOLD SECURITY THAT SHE FELL.
SCA14.0125,2014-03-12,Minor,Complaint,,"At completion of walking group [REDACTED] was advised by scurity that [REDACTED] was missing, staff looked for person who was found."
SCA14.1246,2014-04-05,Minor,ANTISOCIAL BEHAVIOR,"RPC3, PLAYGROUND","CSO [REDACTED] AND SCO [REDACTED] ON DUTY AT FOXTROT 14 WHEN THEY HEARD CHILDREN IN THE FACINITY OF THE PLAYGROUND CALL OUT FOR ASSISTANCE. THE CSO'S CONCERNED RSPONDED AND FOUND [REDACTED] STANDING OVER THE TOP OF [REDACTED] WHO WAS LYING ON THE GROUND. CSO'S TRIED TO ASCERTAIN WHAT HAPPEND . [REDACTED] STATED ""THAIS IF YOU ASK ME, I WILL TELL MY FATHER TO BEAT YOU""."
SCA14.0428,2014-07-08,Minor,,,"[REDACTED] advised staff that if her requests are not met she will kill herself ""by tomorrow"""
SCA14.0782,2014-09-27,Minor,,,Threatened self harm by sewing lips together.
SCA14.0821,2014-09-29,Information,,RPC3 - Area 10,SCA Staff [REDACTED] was having a general discussion with [REDACTED] and he disclosed that he was currently on a hunger strike and had not been eating or 4 days. SCA staff then submitted an IR report. SCA staff can not confirm whether or not he has eaten food. Staff just passing on the information.
SCA14.0822,2014-09-29,Information,,RPC3 - Area 10,Furhter information attached to previously submitted incident report. Incident time was 16:20. SCA Staff [REDACTED] was having a discussion with [REDACTED]. [REDACTED] discoled that the youth meeting about their potential protest activity was moving to 20:30pm tonight in the volleyball court. She also disclosed that the protest (please refer to Incident report) would happen at 17:00pm tomorrow 30/9/2014. Staff than advised security in Area 10. This information was then given to Romeo 2
SCA14.0830,2014-09-30,Minor,,,"[REDACTED] told SCA staff that her along with many other youths were considering a mass self harm with razor blades, detergent and cigarette buds."
SCA14.0871,2014-10-06,Minor,,,[REDACTED] told rec staff that he might kill himself if his situation in Nauru did not change soon.
SCA14.0872,2014-10-06,Minor,,,"[REDACTED] refused to leave the rec session when he was being disruptive and abusive to other children, he then threatened to hit staff members if he wasn‰Û¡ÌÝå»t allowed to participate."
SCA14.0105,2014-03-08,Minor,,RPC3 - Volleyball court,"At approximately 1905, [REDACTED] was sitting next to the volleyball court drinking hot tea when the volleyball hit the tea which spilt on the left shoulder of [REDACTED] and left leg. SCA staff member, [REDACTED], advised [REDACTED] to remove his shirt and took [REDACTED] to the shower to stay under cold water. SCA staff member [REDACTED] phoned IHMS duty nurse at 1920 who advised [REDACTED] to remain under cold water. IHMS advised they will come to OPC3 to investigate the burn."
SCA14.0119,2014-03-12,Information,SELF-HARM THREAT,,"1020 hours, [REDACTED] obsdrved [REDACTED] sitting on the ground outside toilet block crying [REDACTED] the was later observed sitting on his bed cutting his arm with a metal object."
SCA14.0620,2014-08-20,Minor,Complaint,IHMS Settlement Clinic,"At approximately 1640 on 20 August 2014, [REDACTED] and [REDACTED] presented to the Beach House to apeak with Case Worker (CW), [REDACTED]. CW [REDACTED] asked DIBP Farsi Interpreter, [REDACTED] to assist with the language. CW noticed that [REDACTED] had two files tucked under his arm and asked [REDACTED] what the files were. [REDACTED] stated that he was unhappy with the service he was receving at IHMS so he he and his wife, [REDACTED] files. CW [REDACTED] asked [REDACTED] what he was going to do with the files and [REDACTED] stated, ""I will burn them."" Hossein also stated that he would show the documents to another doctor either in Iran or Australia.
 On several occasions, CW [REDACTED] advised [REDACTED] to return the files to IHMS or hand the files over to him to return to IHMS. [REDACTED] refused to do this. CW [REDACTED] advised [REDACTED] of the repercussions of him taking the file, as he stole property from IHMS. [REDACTED] stated that he did not care and he was happy for the police to take him. [REDACTED] stated he did not need IHMS for anything.
 Before leaving the Beach House, [REDACTED] stated that he and [REDACTED] may abort the baby but have not made a decision as yet. CW [REDACTED] advised [REDACTED] and [REDACTED] to let him know before a decision is made.
 Several hours of this incident, Welfare Manager (WM) Tara Richardson advised CW Cloumassis that Hossein had made threats at IHMS"
SCA14.0659,2014-08-25,Major,,RAP - RON Hospital,"At approximately 1745 on 25 August 2014, [REDACTED] approached Save the Children (SCA) Case Worker (CW) [REDACTED] at the Beach House crying. CW [REDACTED] and [REDACTED] sat down and [REDACTED] asked for language support. CW [REDACTED] called Cultural Liaison Officer (CLO) [REDACTED] to assist with language. CLOW [REDACTED] advised that he would return to the Beach House. CLO [REDACTED], CW [REDACTED] and [REDACTED] sat down and [REDACTED] advised the she was waiting outside the RON Hospital for a lift home when a group of either three or four men approached her and surrounded her on their motorbikes and asked her to come with them. [REDACTED] stated that she declined the offer and when she did, the men continued telling her to go with them and they can drink alcohol together. [REDACTED] stated that she began to feel very threatened and continued to refuse and stated that the men began to insist and demanded for her to go with them. [REDACTED] stated that she refused and one of these men then grabbed her bag and pulled her toward and felt as if he was trying to take her. [REDACTED] stated that she pulled the bag back when a police car drove past. This scared the men away as they rode the motorbikes away. [REDACTED] stated that she was unsure if the police officers saw what had occured as they did not stop."
SCA14.0914,2014-10-10,Information,Concern for minor raised,RPC1 school,[REDACTED] (minor) stated to SCA teacher that she felt that there was no God and life was not good.
SCA14.0911,2014-10-10,Information,Concern for minor raised,RPC1 school,[REDACTED] (minor) stated to SCA teacher that she felt that there was no God and life was not good.
SCA14.0331,2014-06-23,Information,,,[REDACTED] & [REDACTED] seen unsupervised in Area 9. Father found sleeping in Area 9 air-conditioned tent.
SCA14.0343,2014-06-25,Information,,,SCA worker witnessed Wilson Gaurds talking offensively to children while they lined up for canteen
SCA14.0392,2014-07-02,Not Rated,,,"[REDACTED] said [REDACTED] hit herself in the head, face and body when confronted by neighbour [REDACTED] about not cleaning and disrespecting tent rules. Code black called."
SCA14.0401,2014-07-03,Information,,,"[REDACTED] disclosed that her son [REDACTED] has been making threats to kill himself, has lost weight, refusing to eat and is crying daily. Refuses to see mental health. The family recently received a negative hand down."
SCA14.0540,2014-07-30,Information,,,[REDACTED] (wife) stated to Wilson Cultural Advisor that she intended to kill herself with a sharp object. Wilson's CA stated that client said she would kill her children if they were left with client [REDACTED].
SCA14.0546,2014-08-01,Information,,,[REDACTED] became agitated while in a parenting strategies meeting and was physically rough with her child [REDACTED]
SCA14.0589,2014-08-13,Information,,,"CW witnessed children climbing on fence onto canopy above playground, and then sliding down canopy."
SCA14.0503,2014-07-24,Minor,,,Client [REDACTED] stated to SCA worker that she lost her ID two months ago and has been using a printed version since then. Client stated that she put in a request for new ID one month ago to Foxtrot
SCA14.0529,2014-07-29,Information,,,Client [REDACTED] disclosed to SCA worker that they want to kill themselves
SCA14.0530,2014-07-29,Information,,,Clients [REDACTED] and [REDACTED] disclosed to SCA worker that would like to hold a peaceful protest in SAF area
SCA14.0543,2014-07-31,Information,,,Client [REDACTED] informed SCA worker that the Somali SAFs had finished their 7 day protest as asked and would direct their concerns in the future to Red Cross who would pass them on to the Department
SCA14.0711,2014-09-04,Information,,,[REDACTED] lost her razor two weeks prior
SCA14.0882,2014-10-07,Information,INFORMATION,RPC3,"[REDACTED] STATED TO CM [REDACTED] ORA THE FOLLOWING: WHILE BEING TREATED AT IHMS FOLLOWING AN ACT OF SELF HARM. [REDACTED] STATED THAT ONE OF THE DOCTORS (EX-PAT) WHO WAS CHECKING HER VEINS TO TAKE BLOOD, POSITIONED HIMSELF WHICH PLACED HER HAND ON HIS GENITALS THE ENTIRE TIME, [REDACTED] STATED SHE DID NOT THINK THIS WAS ACCIDENTAL AND SHE FELT VERY UNSAFE AND UNCOMFORTABLE. SHE SAID THAT DUE TO HER PHYSICAL HEALTH CONCERN AT THE TIME. ANOTHER DOCTOR WAS PRESENT BUT DID NOT SAY ANYTHING AND DID NOT ACT IN THIS MANNER."
SCA14.0883,2014-10-07,Information,Bullying & Harrassment,RPC3,"[REDACTED] INFORMED CM [REDACTED] OF THE FOLLOWING INCIDENT:
 - TWO MONTHS AGO SHE WAS WAITING AT THE CLIENT BUS STOP AT RPC1 WITH A FEMALE FRIEND AND WAS SURROUNDED BY LOCAL WILSONS SECURITY STAFF MEMBERS. THE STAFF WERE ALL LAUGHING AND [REDACTED] AND HER FRIEND FELT UNCOMFORTABLE AND DID NOT KNOW WHY. MALIHE LOOKED BEHIND HER TOWARDS IHMS OFFICE AND SAW IN THE REFLECTION OF THE WINDOW, ONE OF THE MALE LOACL SECURITY GUARDS SHAKING HIS EXPOSED GENITALS AT HER AND HER FRIEND FROM AROUND THE CORNER. 
 [REDACTED] STATED SHE INFORMED WILSONS SECURITY GUARD[REDACTED] AND LODGES A COMPLAINT, BUT HAS RECEIVED NO RESPONSE AND CONTINUES TO SEE THIS STAFF MEMBER AT RPC1."
SCA14.0939,2014-10-14,Information,N/A,RPC3,ASYLUM SEEKER CONCERNED ABOUT A SECURITY TRAINING DOCUMENT THAT HAS HER IDENTIFED AS A LEADER
SCA14.0990,2014-10-24,Minor,SELF-HARM THREAT,RPC3,THREAT OF SELF-HARM
SCA14.1081,2014-11-19,Minor,THREAT OF HARM,RPC3,[REDACTED] IS VERY CONCERNED FOR [REDACTED]'s WELBEING WITH MANY COMMENTS AND THREATS OF SELFHARM AND PREVIOUS TIMES HAS TAKEN OVERDOSAGES OF MEDICATION. [REDACTED] HAS BEEN PLACED ON A MEDIUM/HIGH RISK OF SELF HARM
SCA14.1120,2014-11-27,Minor,THREAT OF HARM,RPC3,CM IS VERY CONCERNED FOR [REDACTED] WELBEING WITH MANY COMMENTS AND THREATS OF SELFHARM
SCA14.0173,2014-04-08,Minor,Accident / Injury,,Allegation by [REDACTED] that Teacher slapped his on the face causing it to swell
SCA14.0230,2014-05-10,Minor,Concern for minor raised,,"IR in relation to issues with transferee [REDACTED] bullying and harassing members of arabic community in OPC3. [REDACTED] talked with me regarding her problem with [REDACTED] as she has update about the problem. [REDACTED] told me [REDACTED] daughter[REDACTED] came to her two days ago and told her she wants to be her friend now not like what what her father wants which is us not to be friends. [REDACTED] told me I will bring [REDACTED] so you can talk with her we went to single women area 4, and because [REDACTED] scared if anyone knows her will tell her parents and they will get angry with her. [REDACTED] told me her father forced her to shout swear and throw stones on [REDACTED] and her friend [REDACTED], [REDACTED] told me my father [REDACTED] told me if I do not do this he will beat me, told me as well no (food, drinks, school, play, friends) and i do not want these things happening to me, so when my father told me I just go away start crying and then come back and told my father I did it. Even when we are in Rec area too many times my father gave me stones and asked me to go and throw it on [REDACTED] I pretend to do it but did not because I do not want to hurt [REDACTED]. [REDACTED] told me her father asked her to take [REDACTED], [REDACTED] cloths (pants & t-shirt) while they are walking, and take [REDACTED] head cover (Hijab). [REDACTED] told me I did bad things to [REDACTED] before because I was a kid but now I have grown up and do not want to be a bad lady she said sorry to [REDACTED], she hugged and kissed her then she start crying because her father put a lot of pressure on her when he asked her to do some bad things and she does not like to do it. [REDACTED] asked to keep what happened today between us a secret she is scared if her parents will know they will hurt her."
SCA14.0427,2014-07-08,Minor,,,Dispute between families over toysComplaint about another asylum seeker scaring a child. He was also allegedly witnessed slapping his own son across the face.
SCA14.0502,2014-07-24,Minor,,,"[REDACTED] stated to SCA worker that she feels persecuted because her bunk bed has been taken from her tent she was told because of safety reasons, although all other client in her tent have their bunk beds still and she is sleeping on the floor, where bugs are. Client stated that her food was taken out of the fridge in Tent 74 and that the SCA Nurse is not allowing her to bathe her child when she likes. Client stated that she would not eat until she is treated better."
SCA14.0846,2014-10-02,Minor,,,Threatening behaviour from [REDACTED] towards [REDACTED] and [REDACTED].
SCA14.0905,2014-10-09,Minor,Food &/or Fluid Refusal,"RPC3, AREA9","[REDACTED] REPORTED THAT SHE WAS VERY UPSET ABOUT A MESSAGE SHE RECIVED FROM IMMIGRATION AND REPORTED THAT THEY MEANING OTHER A/S WERE GOING TO FIGHT BACK. WHEN I ASKED WHAT SHE MEANT BY FIGHTING BACK SHE REPORTED THAT SHE WAS NOT GOING TO SELFHARM OR KILL HERSELF, BUT THAT SHE WOULD NOT DRINK WATER OR EAT FOOD IN PROTEST."
SCA14.0919,2014-10-11,Information,N/A,,ASYLUM SEEKER SUBMITTED REQUESTS WANTING TO TALK TO IMMIGRATION AND WAS VERY UPSET THAT HIS REQUEST HAVE NOT BEEN RESPONDED TOO
SCA14.1031,2014-07-08,Information,Concern for minor raised,RPC3 Area 9 Tent 74 and 75,Dispute between families over toys. Reported that son had been slapped across the face
SCA14.1064,2014-11-15,Major,,,THREAT OF SELF HARM OF HIM AND HIS FAMILY
SCA14.1084,2014-11-20,Major,,,"Child reported that mother had physically abused him, while father yelled at him and both make him sleep outside the family room."
SCA14.0346,2014-06-25,Information,,,"CSPW was travelling on bus with [REDACTED] when he told her he wanted to kill himself, was laughing and indicating jumping out of the window. She probed and he was laughing with his answers. He stated that guards call him an animal."
SCA14.0492,2014-07-22,Minor,,,"[REDACTED] expressed suicidal thoughts to SCA caseworker, client does not believe his depression medication is working."
SCA14.0656,2014-08-25,Major,SELF-HARM THREAT,RPC1,"This case manager was travelling with [REDACTED] from OPC3 to OPC1 [REDACTED] when he stated ""I want to kill myself"" and gestured jumping out the window and was laughin. Case Manager asked if he not like his life, [REDACTED] said ""No"", case manager asked if he was going to harm himself. [REDACTED] laughed and said yes. Case Manager asked ""today?"", [REDACTED] laughed and said ""no.
 Case Manager asked ""tomorrow?"", [REDACTED] laughed and said ""No.""
 Case Manager asked ""Someday?"". [REDACTED] laughed and said ""No. Stop it.""
 [REDACTED] stated he could not stay in Nauru for 5 years and reported distress of being in detention. CAse Manager said if [REDACTED] died he couldn't see he his mum, [REDACTED] reported he has tried to protect his mother and now she is sick. [REDACTED] reported guards call him an animal.
 Case Manager asked if [REDACTED] wanted to go to IHMs mental health and he stated he didn't want to go there."
SCA14.0668,2014-08-27,Minor,,,Mother was sad because an asylum seeker swore at her. [REDACTED] stated it is his job to look after his mother and he will kill the man who swore at her.
SCA14.0678,2014-08-28,Major,,,CM spoke with [REDACTED] with interpreter. Stated worried about others talking about her. Displaying aggressive and unusual behaviours. Stated wants to hurt self. Indicated hurting others. A code black was called.
SCA14.0697,2014-08-31,Information,,,[REDACTED] informed case manager that [REDACTED] was upset and he said he wanted to kill himself by eating shampoo.
SCA14.0699,2014-09-01,Minor,,,[REDACTED] states that she will kill herself if her son [REDACTED] kills himself or if their situation gets worse. Referred to IHMS
SCA14.0712,2014-09-04,Minor,,,[REDACTED] stated that she was not eating until DIBP met with her regarding her concerns for her safety and follow up on the investigation regarding her assault.
SCA14.0719,2014-09-07,Minor,,,[REDACTED] stated to case manager that she had thoughts to kill herself.
SCA14.0810,2014-09-29,Minor,,,[REDACTED] informed poppy that he would keep his lips sewn together and therefore would die as a result in 5 days. He explained that Wilsons guards had laughed at him and other protestors.
SCA14.0834,2014-09-30,Information,,RPC3 - Mess,[REDACTED] is a 13 year old boy and reported to this case manager that many people involved in the protest are crazy and are going to kill themselves. [REDACTED] was unable to name anyone specifically but repported that everyone knows this. [REDACTED] reported that tonight the protest was occuring from 5-8pm and would involve people chanting for freedom.
SCA14.0842,2014-10-01,Minor,,,"[REDACTED] informed case worker that his son [REDACTED] was walking through Area 9, felt dizzy (he had sewn his lips together at the time) and sat on the chair near the guard station. Guard stated Do not sit in front of me I don‰Û¡ÌÝå»t want to see you and kicked the chair."
